Date,SUNRISE_LST,SUNSET_LST
7/26/2021,4:47:43,19:18:44
7/27/2021,4:48:38,19:17:48
7/28/2021,4:49:33,19:16:51
7/29/2021,4:50:29,19:15:52
7/30/2021,4:51:25,19:14:52
7/31/2021,4:52:21,19:13:50
8/1/2021,4:53:18,19:12:47
8/2/2021,4:54:15,19:11:42
8/3/2021,4:55:12,19:10:35
8/4/2021,4:56:10,19:09:27
8/5/2021,4:57:08,19:08:18
8/6/2021,4:58:06,19:07:07
8/7/2021,4:59:04,19:05:55
8/8/2021,5:00:02,19:04:41
8/9/2021,5:01:01,19:03:27
8/10/2021,5:02:00,19:02:11
8/11/2021,5:02:58,19:00:53
8/12/2021,5:03:57,18:59:35
8/13/2021,5:04:56,18:58:15
8/14/2021,5:05:55,18:56:54
8/15/2021,5:06:54,18:55:32
8/16/2021,5:07:53,18:54:09
8/17/2021,5:08:52,18:52:45
8/18/2021,5:09:51,18:51:20
8/19/2021,5:10:50,18:49:54
8/20/2021,5:11:49,18:48:27
8/21/2021,5:12:48,18:46:59
8/22/2021,5:13:47,18:45:30
8/23/2021,5:14:46,18:44:00
8/24/2021,5:15:45,18:42:29
8/25/2021,5:16:44,18:40:58
8/26/2021,5:17:42,18:39:26
8/27/2021,5:18:41,18:37:53
8/28/2021,5:19:40,18:36:19
8/29/2021,5:20:38,18:34:45
8/30/2021,5:21:37,18:33:10
8/31/2021,5:22:36,18:31:35
9/1/2021,5:23:34,18:29:59
9/2/2021,5:24:33,18:28:22
9/3/2021,5:25:31,18:26:45
9/4/2021,5:26:29,18:25:07
9/5/2021,5:27:28,18:23:29
9/6/2021,5:28:26,18:21:51
9/7/2021,5:29:24,18:20:12
9/8/2021,5:30:23,18:18:32
9/9/2021,5:31:21,18:16:53
9/10/2021,5:32:19,18:15:13
9/11/2021,5:33:18,18:13:32
9/12/2021,5:34:16,18:11:52
9/13/2021,5:35:14,18:10:11
9/14/2021,5:36:13,18:08:30
9/15/2021,5:37:11,18:06:49
9/16/2021,5:38:10,18:05:08
9/17/2021,5:39:08,18:03:26
9/18/2021,5:40:07,18:01:45
9/19/2021,5:41:06,18:00:03
9/20/2021,5:42:04,17:58:22
9/21/2021,5:43:03,17:56:40
9/22/2021,5:44:02,17:54:59
9/23/2021,5:45:01,17:53:17
9/24/2021,5:46:01,17:51:36
9/25/2021,5:47:00,17:49:55
9/26/2021,5:48:00,17:48:13
9/27/2021,5:49:00,17:46:33
9/28/2021,5:49:59,17:44:52
9/29/2021,5:51:00,17:43:11
9/30/2021,5:52:00,17:41:31
10/1/2021,5:53:00,17:39:51
10/2/2021,5:54:01,17:38:12
10/3/2021,5:55:02,17:36:33
10/4/2021,5:56:04,17:34:54
10/5/2021,5:57:05,17:33:16
10/6/2021,5:58:07,17:31:38
10/7/2021,5:59:09,17:30:00
10/8/2021,6:00:11,17:28:24
10/9/2021,6:01:14,17:26:47
10/10/2021,6:02:17,17:25:12
10/11/2021,6:03:20,17:23:37
10/12/2021,6:04:23,17:22:02
10/13/2021,6:05:27,17:20:28
10/14/2021,6:06:31,17:18:55
10/15/2021,6:07:36,17:17:23
10/16/2021,6:08:40,17:15:52
10/17/2021,6:09:46,17:14:21
10/18/2021,6:10:51,17:12:51
10/19/2021,6:11:57,17:11:22
10/20/2021,6:13:03,17:09:54
10/21/2021,6:14:09,17:08:28
10/22/2021,6:15:16,17:07:02
10/23/2021,6:16:23,17:05:37
10/24/2021,6:17:31,17:04:13
10/25/2021,6:18:38,17:02:50
10/26/2021,6:19:46,17:01:28
10/27/2021,6:20:55,17:00:08
10/28/2021,6:22:03,16:58:49
10/29/2021,6:23:12,16:57:31
10/30/2021,6:24:21,16:56:14
10/31/2021,6:25:31,16:54:59
11/1/2021,6:26:40,16:53:45
11/2/2021,6:27:50,16:52:33
11/3/2021,6:29:00,16:51:21
11/4/2021,6:30:11,16:50:12
11/5/2021,6:31:21,16:49:04
11/6/2021,6:32:32,16:47:57
11/7/2021,6:33:42,16:46:52
11/8/2021,6:34:53,16:45:49
11/9/2021,6:36:04,16:44:47
11/10/2021,6:37:15,16:43:47
11/11/2021,6:38:26,16:42:49
11/12/2021,6:39:37,16:41:52
11/13/2021,6:40:47,16:40:57
11/14/2021,6:41:58,16:40:04
11/15/2021,6:43:08,16:39:13
11/16/2021,6:44:19,16:38:24
11/17/2021,6:45:29,16:37:37
11/18/2021,6:46:39,16:36:51
11/19/2021,6:47:48,16:36:08
11/20/2021,6:48:57,16:35:27
11/21/2021,6:50:06,16:34:47
11/22/2021,6:51:15,16:34:10
11/23/2021,6:52:22,16:33:35
11/24/2021,6:53:30,16:33:02
11/25/2021,6:54:36,16:32:31
11/26/2021,6:55:42,16:32:02
11/27/2021,6:56:48,16:31:35
11/28/2021,6:57:52,16:31:11
11/29/2021,6:58:56,16:30:49
11/30/2021,6:59:59,16:30:29
12/1/2021,7:01:01,16:30:11
12/2/2021,7:02:02,16:29:56
12/3/2021,7:03:01,16:29:42
12/4/2021,7:04:00,16:29:32
12/5/2021,7:04:58,16:29:23
12/6/2021,7:05:54,16:29:17
12/7/2021,7:06:49,16:29:13
12/8/2021,7:07:43,16:29:11
12/9/2021,7:08:36,16:29:11
12/10/2021,7:09:27,16:29:14
12/11/2021,7:10:16,16:29:19
12/12/2021,7:11:04,16:29:27
12/13/2021,7:11:51,16:29:37
12/14/2021,7:12:36,16:29:49
12/15/2021,7:13:19,16:30:03
12/16/2021,7:14:00,16:30:19
12/17/2021,7:14:40,16:30:38
12/18/2021,7:15:17,16:30:59
12/19/2021,7:15:53,16:31:22
12/20/2021,7:16:27,16:31:47
12/21/2021,7:16:59,16:32:15
12/22/2021,7:17:29,16:32:44
12/23/2021,7:17:57,16:33:15
12/24/2021,7:18:23,16:33:49
12/25/2021,7:18:47,16:34:24
12/26/2021,7:19:09,16:35:02
12/27/2021,7:19:29,16:35:41
12/28/2021,7:19:46,16:36:22
12/29/2021,7:20:02,16:37:05
12/30/2021,7:20:15,16:37:50
12/31/2021,7:20:26,16:38:37
1/1/2022,7:20:35,16:39:25
1/2/2022,7:20:41,16:40:15
1/3/2022,7:20:45,16:41:06
1/4/2022,7:20:47,16:41:59
1/5/2022,7:20:47,16:42:54
1/6/2022,7:20:45,16:43:49
1/7/2022,7:20:40,16:44:47
1/8/2022,7:20:33,16:45:45
1/9/2022,7:20:23,16:46:45
1/10/2022,7:20:12,16:47:46
1/11/2022,7:19:58,16:48:48
1/12/2022,7:19:42,16:49:51
1/13/2022,7:19:24,16:50:55
1/14/2022,7:19:03,16:52:01
1/15/2022,7:18:41,16:53:07
1/16/2022,7:18:16,16:54:14
1/17/2022,7:17:49,16:55:22
1/18/2022,7:17:20,16:56:30
1/19/2022,7:16:49,16:57:39
1/20/2022,7:16:15,16:58:49
1/21/2022,7:15:40,17:00:00
1/22/2022,7:15:03,17:01:11
1/23/2022,7:14:23,17:02:22
1/24/2022,7:13:42,17:03:34
1/25/2022,7:12:58,17:04:47
1/26/2022,7:12:13,17:05:59
1/27/2022,7:11:26,17:07:12
1/28/2022,7:10:36,17:08:26
1/29/2022,7:09:45,17:09:39
1/30/2022,7:08:53,17:10:53
1/31/2022,7:07:58,17:12:07
2/1/2022,7:07:02,17:13:21
2/2/2022,7:06:04,17:14:35
2/3/2022,7:05:04,17:15:49
2/4/2022,7:04:02,17:17:03
2/5/2022,7:02:59,17:18:17
2/6/2022,7:01:55,17:19:31
2/7/2022,7:00:49,17:20:45
2/8/2022,6:59:41,17:21:58
2/9/2022,6:58:32,17:23:12
2/10/2022,6:57:21,17:24:26
2/11/2022,6:56:09,17:25:39
2/12/2022,6:54:56,17:26:52
2/13/2022,6:53:41,17:28:05
2/14/2022,6:52:25,17:29:18
2/15/2022,6:51:08,17:30:30
2/16/2022,6:49:50,17:31:43
2/17/2022,6:48:30,17:32:55
2/18/2022,6:47:09,17:34:06
2/19/2022,6:45:47,17:35:18
2/20/2022,6:44:24,17:36:29
2/21/2022,6:43:00,17:37:40
2/22/2022,6:41:35,17:38:50
2/23/2022,6:40:09,17:40:01
2/24/2022,6:38:42,17:41:11
2/25/2022,6:37:14,17:42:20
2/26/2022,6:35:46,17:43:30
2/27/2022,6:34:16,17:44:39
2/28/2022,6:32:46,17:45:47
3/1/2022,6:31:15,17:46:56
3/2/2022,6:29:43,17:48:04
3/3/2022,6:28:11,17:49:12
3/4/2022,6:26:37,17:50:19
3/5/2022,6:25:04,17:51:27
3/6/2022,6:23:29,17:52:34
3/7/2022,6:21:54,17:53:40
3/8/2022,6:20:19,17:54:47
3/9/2022,6:18:43,17:55:53
3/10/2022,6:17:07,17:56:59
3/11/2022,6:15:30,17:58:05
3/12/2022,6:13:53,17:59:10
3/13/2022,6:12:15,18:00:15
3/14/2022,6:10:37,18:01:21
3/15/2022,6:08:59,18:02:25
3/16/2022,6:07:21,18:03:30
3/17/2022,6:05:42,18:04:34
3/18/2022,6:04:03,18:05:39
3/19/2022,6:02:24,18:06:43
3/20/2022,6:00:45,18:07:47
3/21/2022,5:59:05,18:08:50
3/22/2022,5:57:26,18:09:54
3/23/2022,5:55:47,18:10:58
3/24/2022,5:54:07,18:12:01
3/25/2022,5:52:28,18:13:04
3/26/2022,5:50:48,18:14:08
3/27/2022,5:49:09,18:15:11
3/28/2022,5:47:30,18:16:14
3/29/2022,5:45:50,18:17:17
3/30/2022,5:44:12,18:18:20
3/31/2022,5:42:33,18:19:23
4/1/2022,5:40:54,18:20:25
4/2/2022,5:39:16,18:21:28
4/3/2022,5:37:38,18:22:31
4/4/2022,5:36:00,18:23:34
4/5/2022,5:34:23,18:24:36
4/6/2022,5:32:46,18:25:39
4/7/2022,5:31:09,18:26:42
4/8/2022,5:29:33,18:27:44
4/9/2022,5:27:57,18:28:47
4/10/2022,5:26:22,18:29:50
4/11/2022,5:24:47,18:30:53
4/12/2022,5:23:13,18:31:55
4/13/2022,5:21:40,18:32:58
4/14/2022,5:20:07,18:34:01
4/15/2022,5:18:35,18:35:04
4/16/2022,5:17:03,18:36:07
4/17/2022,5:15:32,18:37:10
4/18/2022,5:14:02,18:38:12
4/19/2022,5:12:32,18:39:15
4/20/2022,5:11:04,18:40:18
4/21/2022,5:09:36,18:41:21
4/22/2022,5:08:09,18:42:24
4/23/2022,5:06:43,18:43:27
4/24/2022,5:05:18,18:44:30
4/25/2022,5:03:54,18:45:33
4/26/2022,5:02:31,18:46:35
4/27/2022,5:01:09,18:47:38
4/28/2022,4:59:48,18:48:41
4/29/2022,4:58:28,18:49:44
4/30/2022,4:57:09,18:50:46
5/1/2022,4:55:51,18:51:49
5/2/2022,4:54:35,18:52:51
5/3/2022,4:53:20,18:53:53
5/4/2022,4:52:06,18:54:55
5/5/2022,4:50:53,18:55:57
5/6/2022,4:49:42,18:56:59
5/7/2022,4:48:31,18:58:00
5/8/2022,4:47:23,18:59:01
5/9/2022,4:46:15,19:00:02
5/10/2022,4:45:10,19:01:03
5/11/2022,4:44:05,19:02:03
5/12/2022,4:43:02,19:03:03
5/13/2022,4:42:01,19:04:02
5/14/2022,4:41:01,19:05:02
5/15/2022,4:40:03,19:06:00
5/16/2022,4:39:06,19:06:59
5/17/2022,4:38:11,19:07:56
5/18/2022,4:37:18,19:08:53
5/19/2022,4:36:26,19:09:50
5/20/2022,4:35:36,19:10:46
5/21/2022,4:34:48,19:11:41
5/22/2022,4:34:02,19:12:36
5/23/2022,4:33:17,19:13:30
5/24/2022,4:32:34,19:14:23
5/25/2022,4:31:53,19:15:15
5/26/2022,4:31:14,19:16:06
5/27/2022,4:30:37,19:16:57
5/28/2022,4:30:02,19:17:46
5/29/2022,4:29:28,19:18:35
5/30/2022,4:28:57,19:19:23
5/31/2022,4:28:27,19:20:09
6/1/2022,4:27:59,19:20:54
6/2/2022,4:27:34,19:21:39
6/3/2022,4:27:10,19:22:22
6/4/2022,4:26:48,19:23:03
6/5/2022,4:26:28,19:23:44
6/6/2022,4:26:11,19:24:23
6/7/2022,4:25:55,19:25:01
6/8/2022,4:25:41,19:25:37
6/9/2022,4:25:29,19:26:12
6/10/2022,4:25:19,19:26:45
6/11/2022,4:25:11,19:27:17
6/12/2022,4:25:06,19:27:48
6/13/2022,4:25:02,19:28:16
6/14/2022,4:25:00,19:28:43
6/15/2022,4:25:00,19:29:09
6/16/2022,4:25:02,19:29:32
6/17/2022,4:25:06,19:29:54
6/18/2022,4:25:11,19:30:15
6/19/2022,4:25:19,19:30:33
6/20/2022,4:25:29,19:30:49
6/21/2022,4:25:40,19:31:04
6/22/2022,4:25:53,19:31:17
6/23/2022,4:26:08,19:31:28
6/24/2022,4:26:25,19:31:37
6/25/2022,4:26:44,19:31:44
6/26/2022,4:27:04,19:31:49
6/27/2022,4:27:26,19:31:52
6/28/2022,4:27:50,19:31:54
6/29/2022,4:28:15,19:31:53
6/30/2022,4:28:42,19:31:50
7/1/2022,4:29:10,19:31:45
7/2/2022,4:29:40,19:31:38
7/3/2022,4:30:12,19:31:29
7/4/2022,4:30:45,19:31:18
7/5/2022,4:31:19,19:31:05
7/6/2022,4:31:55,19:30:50
7/7/2022,4:32:32,19:30:33
7/8/2022,4:33:10,19:30:14
7/9/2022,4:33:49,19:29:53
7/10/2022,4:34:30,19:29:30
7/11/2022,4:35:12,19:29:05
7/12/2022,4:35:55,19:28:38
7/13/2022,4:36:39,19:28:09
7/14/2022,4:37:24,19:27:38
7/15/2022,4:38:10,19:27:04
7/16/2022,4:38:57,19:26:30
7/17/2022,4:39:45,19:25:53
7/18/2022,4:40:34,19:25:14
7/19/2022,4:41:23,19:24:33
7/20/2022,4:42:14,19:23:51
7/21/2022,4:43:05,19:23:06
7/22/2022,4:43:56,19:22:20
7/23/2022,4:44:49,19:21:32
7/24/2022,4:45:42,19:20:42
7/25/2022,4:46:36,19:19:50
7/26/2022,4:47:30,19:18:57
7/27/2022,4:48:24,19:18:02
7/28/2022,4:49:20,19:17:05
7/29/2022,4:50:15,19:16:07
7/30/2022,4:51:11,19:15:07
7/31/2022,4:52:07,19:14:06
8/1/2022,4:53:04,19:13:02
8/2/2022,4:54:01,19:11:58
8/3/2022,4:54:59,19:10:52
8/4/2022,4:55:56,19:09:44
8/5/2022,4:56:54,19:08:35
8/6/2022,4:57:52,19:07:25
8/7/2022,4:58:50,19:06:13
8/8/2022,4:59:48,19:05:00
8/9/2022,5:00:47,19:03:45
8/10/2022,5:01:46,19:02:29
8/11/2022,5:02:44,19:01:12
8/12/2022,5:03:43,18:59:54
8/13/2022,5:04:42,18:58:35
8/14/2022,5:05:41,18:57:14
8/15/2022,5:06:40,18:55:52
8/16/2022,5:07:39,18:54:29
8/17/2022,5:08:38,18:53:06
8/18/2022,5:09:37,18:51:41
8/19/2022,5:10:36,18:50:15
8/20/2022,5:11:35,18:48:48
8/21/2022,5:12:34,18:47:20
8/22/2022,5:13:33,18:45:51
8/23/2022,5:14:32,18:44:22
8/24/2022,5:15:31,18:42:52
8/25/2022,5:16:30,18:41:20
8/26/2022,5:17:28,18:39:48
8/27/2022,5:18:27,18:38:16
8/28/2022,5:19:26,18:36:42
8/29/2022,5:20:24,18:35:08
8/30/2022,5:21:23,18:33:33
8/31/2022,5:22:22,18:31:58
9/1/2022,5:23:20,18:30:22
9/2/2022,5:24:19,18:28:46
9/3/2022,5:25:17,18:27:09
9/4/2022,5:26:15,18:25:31
9/5/2022,5:27:14,18:23:53
9/6/2022,5:28:12,18:22:14
9/7/2022,5:29:10,18:20:36
9/8/2022,5:30:09,18:18:56
9/9/2022,5:31:07,18:17:17
9/10/2022,5:32:05,18:15:37
9/11/2022,5:33:04,18:13:57
9/12/2022,5:34:02,18:12:16
9/13/2022,5:35:00,18:10:35
9/14/2022,5:35:59,18:08:54
9/15/2022,5:36:57,18:07:13
9/16/2022,5:37:56,18:05:32
9/17/2022,5:38:54,18:03:51
9/18/2022,5:39:53,18:02:09
9/19/2022,5:40:51,18:00:28
9/20/2022,5:41:50,17:58:46
9/21/2022,5:42:49,17:57:05
9/22/2022,5:43:48,17:55:23
9/23/2022,5:44:47,17:53:42
9/24/2022,5:45:46,17:52:00
9/25/2022,5:46:46,17:50:19
9/26/2022,5:47:45,17:48:38
9/27/2022,5:48:45,17:46:57
9/28/2022,5:49:45,17:45:16
9/29/2022,5:50:45,17:43:36
9/30/2022,5:51:45,17:41:55
10/1/2022,5:52:46,17:40:16
10/2/2022,5:53:47,17:38:36
10/3/2022,5:54:48,17:36:57
10/4/2022,5:55:49,17:35:18
10/5/2022,5:56:50,17:33:39
10/6/2022,5:57:52,17:32:01
10/7/2022,5:58:54,17:30:24
10/8/2022,5:59:56,17:28:47
10/9/2022,6:00:59,17:27:10
10/10/2022,6:02:01,17:25:35
10/11/2022,6:03:05,17:23:59
10/12/2022,6:04:08,17:22:25
10/13/2022,6:05:12,17:20:51
10/14/2022,6:06:16,17:19:18
10/15/2022,6:07:20,17:17:45
10/16/2022,6:08:25,17:16:14
10/17/2022,6:09:30,17:14:43
10/18/2022,6:10:35,17:13:13
10/19/2022,6:11:41,17:11:44
10/20/2022,6:12:47,17:10:16
10/21/2022,6:13:53,17:08:48
10/22/2022,6:15:00,17:07:22
10/23/2022,6:16:07,17:05:57
10/24/2022,6:17:14,17:04:33
10/25/2022,6:18:22,17:03:10
10/26/2022,6:19:30,17:01:48
10/27/2022,6:20:38,17:00:27
10/28/2022,6:21:47,16:59:08
10/29/2022,6:22:56,16:57:50
10/30/2022,6:24:05,16:56:33
10/31/2022,6:25:14,16:55:17
11/1/2022,6:26:24,16:54:03
11/2/2022,6:27:33,16:52:50
11/3/2022,6:28:43,16:51:38
11/4/2022,6:29:54,16:50:28
11/5/2022,6:31:04,16:49:20
11/6/2022,6:32:15,16:48:13
11/7/2022,6:33:25,16:47:07
11/8/2022,6:34:36,16:46:04
11/9/2022,6:35:47,16:45:02
11/10/2022,6:36:58,16:44:01
11/11/2022,6:38:09,16:43:02
11/12/2022,6:39:19,16:42:05
11/13/2022,6:40:30,16:41:10
11/14/2022,6:41:41,16:40:17
11/15/2022,6:42:51,16:39:25
11/16/2022,6:44:02,16:38:35
11/17/2022,6:45:12,16:37:48
11/18/2022,6:46:22,16:37:02
11/19/2022,6:47:31,16:36:18
11/20/2022,6:48:41,16:35:36
11/21/2022,6:49:50,16:34:56
11/22/2022,6:50:58,16:34:19
11/23/2022,6:52:06,16:33:43
11/24/2022,6:53:13,16:33:09
11/25/2022,6:54:20,16:32:38
11/26/2022,6:55:26,16:32:09
11/27/2022,6:56:32,16:31:41
11/28/2022,6:57:37,16:31:16
11/29/2022,6:58:40,16:30:54
11/30/2022,6:59:44,16:30:33
12/1/2022,7:00:46,16:30:15
12/2/2022,7:01:47,16:29:59
12/3/2022,7:02:47,16:29:45
12/4/2022,7:03:46,16:29:34
12/5/2022,7:04:44,16:29:25
12/6/2022,7:05:41,16:29:18
12/7/2022,7:06:36,16:29:13
12/8/2022,7:07:30,16:29:11
12/9/2022,7:08:23,16:29:11
12/10/2022,7:09:15,16:29:13
12/11/2022,7:10:04,16:29:18
12/12/2022,7:10:53,16:29:25
12/13/2022,7:11:40,16:29:34
12/14/2022,7:12:25,16:29:45
12/15/2022,7:13:08,16:29:59
12/16/2022,7:13:50,16:30:15
12/17/2022,7:14:30,16:30:33
12/18/2022,7:15:08,16:30:53
12/19/2022,7:15:45,16:31:16
12/20/2022,7:16:19,16:31:41
12/21/2022,7:16:52,16:32:07
12/22/2022,7:17:22,16:32:36
12/23/2022,7:17:51,16:33:07
12/24/2022,7:18:17,16:33:40
12/25/2022,7:18:42,16:34:15
12/26/2022,7:19:04,16:34:52
12/27/2022,7:19:24,16:35:31
12/28/2022,7:19:42,16:36:12
12/29/2022,7:19:58,16:36:55
12/30/2022,7:20:12,16:37:39
12/31/2022,7:20:23,16:38:25
1/1/2023,7:20:33,16:39:13
1/2/2023,7:20:40,16:40:02
1/3/2023,7:20:45,16:40:53
1/4/2023,7:20:47,16:41:46
